,Title,Artist,Top100,URI,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration,Time_Signature
13213,Centuries,Fall Out Boy,1,04aAxqtGp5pv12UXAg4pkq,0.394,0.858,4,-2.868,0,0.0729,0.00359,0,0.102,0.56,176.044,228360,4
13215,Take Your Time,Sam Hunt,1,6DEaND0SHv3sC11xobZLiy,0.558,0.719,11,-5.603,1,0.0419,0.101,0,0.212,0.483,158.031,243707,4
13216,I Don't Fuck with You,Big Sean,1,7FYH5AW3bVfZHJIQpq3UOA,0.824,0.733,1,-5.475,1,0.0613,0.0355,0,0.324,0.393,97.971,284387,4
13217,Bitch Better Have My Money,Rihanna,1,0NTMtAO2BV4tnGvw9EgBVq,0.781,0.728,1,-4.981,1,0.0621,0.0509,1.94E-06,0.257,0.395,102.99,219306,4
13218,"Flex (Ooh, Ooh, Ooh)",Rich Homie Quan,1,2NVt7fxr5GsqTkGwYXcNTE,0.676,0.615,6,-7.534,0,0.0496,0.0384,0,0.341,0.883,163.993,176675,4
13219,Nasty Freestyle,T-Wayne,1,0PT7nlpo11hYYyfnBgtilT,0.779,0.472,11,-7.116,1,0.218,0.0577,0,0.114,0.412,135.051,142212,4
13220,Only,Nicki Minaj,1,4MRT0dDbhqFKl67WzhUbSw,0.573,0.495,8,-7.245,0,0.592,0.405,0,0.0969,0.255,179.196,312027,3
13221,Elastic Heart,Sia,1,5S9lfZu1YF8xKkgSsqL2Bd,0.421,0.791,9,-4.998,1,0.0496,0.0117,1.48E-05,0.146,0.499,130.075,257200,4
13222,Cool for the Summer,Demi Lovato,1,2zFF6jG5hQArbzcXz3KUWk,0.583,0.61,5,-5.639,0,0.0382,0.00425,0.000105,0.14,0.336,114.06,214740,4
13223,Renegades,X Ambassadors,1,0fYVliAYKHuPmECRs1pbRf,0.526,0.862,2,-6.003,1,0.0905,0.0144,0.0597,0.229,0.528,90.052,195200,4
13224,I Don't Mind,Usher,1,7aXuop4Qambx5Oi3ynsKQr,0.87,0.464,4,-8.337,1,0.178,0.205,0,0.0902,0.457,112.974,251989,4
13225,Love Me Harder,Ariana Grande and The Weeknd,1,3Lc0W7SxfoRp4bIM0BIonp,0.548,0.478,6,-10.368,0,0.0416,0.0023,0,0.0891,0.286,99.014,235363,4
13226,Wildest Dreams,Taylor Swift,1,59HjlYCeBsxdI0fcm3zglw,0.553,0.664,8,-7.417,1,0.0741,0.0709,0.0056,0.106,0.467,140.06,220440,4
13227,You Know You Like It,DJ Snake and AlunaGeorge,1,26xFramtAb4oQgOdbyUKwK,0.741,0.371,5,-14.133,0,0.0417,0.188,0.000434,0.395,0.469,97.978,249861,4
13228,Uma Thurman,Fall Out Boy,1,5SI3XgHKxLpriNUgoJ5kg7,0.599,0.941,4,-4.472,0,0.0743,0.0211,0.00148,0.128,0.707,150.018,143160,4
13229,07-Nov,Beyoncé,1,02M6vucOvmRfMxTXDUwRXu,0.747,0.705,9,-5.137,0,0.126,0.0128,0,0.126,0.56,136.024,213507,4
13230,The Heart Wants What It Wants,Selena Gomez,1,6wJwkMo278iWVlWl1XQ4WA,0.616,0.789,7,-4.874,0,0.0377,0.053,0,0.142,0.621,83.066,227373,4
13231,Girl Crush,Little Big Town,1,11qh54D0PKkBwelpDxxiEU,0.5,0.225,0,-10.22,1,0.0302,0.842,0,0.112,0.355,173.788,193320,3
13232,Drag Me Down,One Direction,1,2K87XMYnUMqLcX3zvtAF4G,0.73,0.703,0,-5.672,0,0.0369,0.109,0,0.0657,0.595,138.113,192120,4
13233,Truffle Butter,Nicki Minaj,1,3keUgTGEoZJt0QkzTB6kHg,0.887,0.673,10,-6.846,0,0.0503,0.0743,4.06E-05,0.124,0.491,105.113,219227,4
13234,One Last Time,Ariana Grande,1,7xoUc6faLbCqZO6fQEYprd,0.628,0.593,8,-5.036,1,0.0323,0.093,1.65E-06,0.096,0.104,125.026,197267,4
13235,Chains,Nick Jonas,1,5Eg4TsPcqNbIjd8ADMZosg,0.589,0.611,0,-5.881,0,0.0459,0.0151,0,0.0757,0.121,76.006,203107,4
13236,All Eyes on You,Meek Mill,1,0hy1SOTEn9ifXTzOwnCwEr,0.589,0.658,11,-5.288,0,0.203,0.0242,0,0.118,0.251,77.521,223973,4
13237,No Type,Rae Sremmurd,1,4scpF6J5uMBvoh6sFB7EL1,0.891,0.486,6,-7.803,1,0.159,0.0158,3.78E-06,0.0925,0.239,125.01,200080,4
13238,Riptide,Vance Joy,1,3JvrhDOgAt6p7K8mDyZwRd,0.484,0.731,1,-6.694,1,0.0379,0.431,0,0.151,0.51,101.654,204280,4
13239,Classic Man,Jidenna,1,3G7XYAwtxtoGK7fAm4IlD9,0.79,0.585,8,-6.058,1,0.0348,0.185,0,0.292,0.585,94.072,226000,4
13240,Ex's & Oh's,Elle King,1,70eDxAyAraNTiD6lx2ZEnH,0.612,0.921,7,-2.879,1,0.0848,0.0183,0,0.0576,0.453,139.986,202173,4
13241,Dear Future Husband,Meghan Trainor,1,3cU2wBxuV6nFiuf6PJZNlC,0.655,0.782,1,-4.789,1,0.185,0.375,0,0.317,0.832,79.427,184227,4
13242,Marvin Gaye,Charlie Puth,1,6ukMqDxnOPOgoHdak7Kyp3,0.795,0.616,1,-5.281,0,0.06,0.417,0,0.349,0.815,110.015,190453,4
13243,Like I'm Gonna Lose You,Meghan Trainor,1,2YlZnw2ikdb837oKMKjBkW,0.63,0.53,0,-7.259,1,0.0434,0.4,0,0.177,0.417,108.038,225053,3
13244,The Hanging Tree,James Newton Howard,1,416MsJxvxSKY96DCmbJIRs,0.338,0.0775,9,-18.067,0,0.0338,0.343,3.67E-05,0.212,0.155,100.648,218507,4
13245,CoCo,O.T. Genasis,1,2JI71GHwq2LN8mtq3iCLYo,0.886,0.628,8,-5.949,1,0.131,0.00215,1.15E-05,0.31,0.178,119.906,239574,4
13246,Lay Me Down,Sam Smith,1,64GRDrL1efgXclrhVCeuA0,0.468,0.19,4,-11.138,1,0.0373,0.919,0,0.107,0.326,125.319,219536,4
13247,Tuesday,ILoveMakonnen,1,2znzyzlAUc8Z1Ikq9aFOcx,0.77,0.664,0,-5.604,1,0.211,0.215,0.000118,0.105,0.472,140.163,321987,4
13248,Hit the Quan,iLoveMemphis,1,4OjuzM3rTWp3q60mEldNSF,0.741,0.488,8,-8.253,1,0.362,0.000235,0,0.0488,0.625,160.018,181081,4
13249,Downtown,Macklemore & Ryan Lewis,1,5pfJsMwoRYKampPay8amX0,0.828,0.609,1,-4.402,1,0.0694,0.0916,1.21E-06,0.291,0.707,109.725,292593,4
13250,House Party,Sam Hunt,1,1TwLKNsCnhi1HxbIi4bAW0,0.747,0.861,8,-5.251,1,0.0514,0.113,0,0.026,0.859,103.966,190240,4
13251,Ayo,Chris Brown and Tyga,1,6tqd3vtdB96Pw81hjAvWuM,0.688,0.439,3,-12.809,0,0.0294,0.0192,0,0.106,0.531,97.986,233143,4
