,Title,Artist,Top100,URI,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration,Time_Signature
7822,Caged Bird,Myles Cameron,0,3MPcfaxPTQPR3w58qaODvX,0.575,0.352,1,-13.813,1,0.0388,0.768,0.485,0.0974,0.447,100.023,235200,4
7823,More Than Friends,RealLiveAnimals,0,01pmPw3Tfm08YF1rRdTcv6,0.742,0.301,2,-10.652,0,0.0424,0.47,0.000154,0.108,0.268,116.914,164153,4
7824,Speaking Of,Souly Had,0,3nPxnMPQG3J8ndJqAetZya,0.458,0.502,1,-7.483,1,0.361,0.479,0,0.102,0.612,174.098,202248,3
7825,Rarri,Amilli,0,4DU9lFHzSh1M52pZEeBEwb,0.817,0.482,6,-6.715,1,0.064,0.618,0.000334,0.161,0.612,95.992,205469,4
7826,Easy Baby,Denyah,0,3hiaRDT2SmsR8aYl93MqgT,0.829,0.408,9,-10.172,1,0.0389,0.769,0.544,0.104,0.753,124.983,199900,4
7827,One Chick,Sondai,0,6mY56gQjKYzpwyK2PNRJst,0.824,0.633,9,-6.875,0,0.168,0.306,0,0.353,0.932,136.086,217059,4
7828,Pocket P Song,Lndfk,0,3mEfrj8dgtfBs3j18dvh5V,0.647,0.328,5,-14.083,0,0.349,0.936,0.00353,0.162,0.513,80.64,212844,4
7829,Arouse,Shagabond,0,4u1DykFW1HjYAGNoDCiXfC,0.67,0.751,1,-6.066,1,0.433,0.0728,0,0.368,0.533,91.961,213913,4
7830,Night Terrific! (feat. Yaqob),ODIE,0,1wQxWFfARHkHVPd9PnZiKU,0.694,0.319,4,-11.271,0,0.123,0.859,2.14E-06,0.208,0.167,82.007,164267,4
7831,Wolverine,Diana Gordon,0,7pYe0vDmQRJoqbkE6YWgHk,0.712,0.504,7,-6.95,1,0.044,0.0346,0.000955,0.185,0.078,129.994,212440,4
7832,Fo'Sho,April + Vista,0,0CM3khntl1m4Un7q1E0KJS,0.917,0.434,0,-9.142,1,0.209,0.3,0.0275,0.0856,0.444,139.926,108947,4
7833,Queen Tings,Masego,0,5tkR9JkBj3Ueeo8W4k8IZD,0.818,0.461,6,-6.475,0,0.292,0.598,0.000135,0.108,0.532,88.006,188053,4
7834,18,emawk,0,3aTZwNMCZrIXoLzHNCAjhB,0.483,0.305,11,-8.15,0,0.268,0.877,6.78E-05,0.126,0.273,79.458,205370,4
7835,Camelblues,Mndsgn,0,6AQobWDXD64OnrlmIeZaja,0.594,0.304,9,-15.353,0,0.029,0.947,0.198,0.0933,0.13,79.994,152985,4
7836,Regal,Noname,0,5Pn2CGpnW6D5MlqMbpLCKZ,0.339,0.482,6,-11.734,1,0.0989,0.819,0.253,0.122,0.485,79.591,168363,1
7837,Close But Not Quite,Everything Is Recorded,0,7hfGhtkWBWiam6LlsIgATD,0.803,0.618,7,-9.513,0,0.113,0.616,0.00165,0.512,0.563,145.992,205614,4
7838,Slept on,Yeek,0,0lkCFhHam8DdmMDSYZ0ON5,0.505,0.269,7,-15.936,1,0.0447,0.586,0,0.0874,0.487,183.776,185217,4
7839,No Limitations,Tidus,0,3SQzDSE1GoJoCT2LiVCdw9,0.814,0.293,6,-14.108,0,0.0621,0.806,0.0111,0.0772,0.382,109.019,346233,4
7840,Often,Abhi//Dijon,0,4RdBZE3BH44wZXoj2vmjez,0.599,0.27,4,-17.638,1,0.0905,0.845,0.00042,0.11,0.377,124.155,189786,5
7841,Worth / Gotta Get Away,Maxwell Young,0,6LPA8zzBTFrrsdg6roLWJw,0.403,0.19,1,-19.54,0,0.0541,0.875,0.84,0.129,0.0579,128.59,213333,5
7842,Young Lost Love,Appleby,0,6inzFkThegOcsjxWgn0AP8,0.292,0.321,11,-10.84,1,0.0394,0.945,0.389,0.691,0.0393,75.959,239658,4
7843,Insane,Cero Ismael,0,2DN7uf0CYLtvbzEFLWPMWq,0.645,0.428,0,-10.917,1,0.292,0.718,0,0.133,0.572,129.641,173830,4
7844,Nont For Sale,Sudan Archives,0,4jdbP4Ue4QtGy5A40ri5F8,0.757,0.502,11,-7.522,0,0.0909,0.0906,4.16E-06,0.126,0.399,139.998,219690,4
7845,Trance Dance,ODIE,0,3iGxtTIbGtUJVMbnHyaPMM,0.623,0.558,0,-8.782,0,0.0457,0.49,0,0.173,0.455,90.505,225568,4
7846,Pickathon,Myke Bogan,0,3tNRx9Oq8zaGsieYJXQsBb,0.566,0.397,6,-10.429,0,0.372,0.491,0,0.134,0.362,74.517,222045,4
7847,Obvious,Shaqdi,0,0PhAijrqPCZ3g9x2i9lHTC,0.758,0.416,5,-12.722,0,0.101,0.566,4.82E-05,0.0744,0.5,104.935,256000,4
7848,"Pink and Blue (feat. BOSCO, DUCKWRTH & Jay Anthony)",JULiA LEWiS,0,1es4YdEihtpmoodyVp9WfI,0.71,0.393,5,-8.703,0,0.191,0.555,0.00111,0.102,0.431,76.054,225093,4
7849,blue Mountain ridge,Vicktor Taiwò,0,6GSPtHm40f49Z8JiI2aD20,0.571,0.473,6,-12.283,1,0.0759,0.41,0.331,0.457,0.202,146.052,222240,4
7850,I Forgive You,Tommy Newport,0,0gtDbHD0L6p3JxqmtmZw4x,0.776,0.474,0,-7.26,0,0.035,0.42,0.000172,0.104,0.673,109.944,177109,4
7851,Sex for Breakfast,Lo'fi Boy,0,1BK5u5dCqEateAptzwHaYa,0.784,0.346,6,-12.193,0,0.0645,0.226,0.899,0.0869,0.379,145.553,148454,3
7852,Edition,Rex Orange County,0,1wz7B02oOtrTW6SNLG0cSk,0.86,0.332,1,-10.263,1,0.22,0.807,0,0.106,0.26,140.949,115000,4
7853,Bull Fighter,Jean Dawson,0,4i9wgfnHp6dcEcYcwsQvVO,0.407,0.745,2,-5.315,1,0.0631,0.578,0.00082,0.253,0.413,79.105,257685,4
7854,stolen car,ROLE MODEL,0,390lcRb0StMukyozd2zFwB,0.442,0.261,3,-14.327,0,0.0711,0.919,0.000605,0.0794,0.0732,144.717,194587,4
7855,Beige,Villette,0,4IQiDVHeEfXwQlVSycgCiu,0.662,0.514,0,-9.517,0,0.0454,0.487,0.000119,0.108,0.121,99.063,180000,4
7856,"Pink Hair, Green Eyes",Balcony,0,7Gwsnz21usfE6ZfeAiiKZa,0.441,0.435,3,-11.55,0,0.42,0.0117,0,0.109,0.362,82.477,231306,4
7857,Forest Fire,YOG$,0,28UEoZbI67jfPdsem4Ri9F,0.635,0.626,6,-8.439,0,0.396,0.418,1.19E-05,0.094,0.66,79.88,214500,4
7858,Hmmhmm,Lèlèman,0,3jlomNY3BWgfaEztgBs8yl,0.727,0.368,9,-13.509,1,0.303,0.348,0.000131,0.18,0.355,143.95,148750,4
7859,moody,kerri,0,6cZCzhpno2zZlGJx4KzhGm,0.634,0.352,0,-13.554,1,0.0371,0.786,0.425,0.116,0.307,140.028,246857,4
7860,Think Like I Do,Jye,0,5BIywHyLnncJb8EWSLCViA,0.72,0.624,11,-7.663,1,0.0355,0.875,0.268,0.104,0.123,120.02,174000,4
7861,O.T.D.,Brad stank,0,2vsQ5SJ75Wtf4zkSV2hiAt,0.793,0.121,3,-14.477,1,0.0345,0.883,0.725,0.131,0.161,121.95,228237,4
7862,Fool,Zanski,0,79AYVbuDWxdzXK59VsvT86,0.747,0.385,4,-11.021,0,0.26,0.18,0.0149,0.121,0.401,82.015,185294,4
7863,French Riviera,Cautious Clay,0,6S2cd8weQrODud9dhXnJok,0.684,0.604,8,-6.41,1,0.0387,0.0237,0.0473,0.121,0.855,150.023,230400,4
7864,Crisp,Lou Val,0,1oM8B1cdh2ZRLHFT6cdQRR,0.714,0.558,11,-7.508,0,0.0619,0.42,7.31E-05,0.101,0.207,135.076,207222,4
7865,Mystik,Tash Sultana,0,5BLRxxzmsarOfxmEjyLCL3,0.513,0.756,0,-6.5,1,0.0475,0.233,0.000413,0.119,0.375,132.576,251384,4
7866,Introverts,J'von,0,4yTA0Wuzd0B495OPRzGvA3,0.756,0.367,7,-6.409,1,0.225,0.125,4.85E-05,0.108,0.55,65.884,214681,4
7867,Smooth Motion,Myke Bogan,0,3OO5BYHFmmExL8384WsvM0,0.553,0.407,8,-12.326,1,0.293,0.514,0.00208,0.138,0.226,139.981,153564,4
7868,On My Way,Myke Bogan,0,3u6gbX9IHitizWnkeqA27J,0.531,0.34,0,-12.418,1,0.198,0.631,1.94E-05,0.112,0.219,88.925,207888,4
7869,Smoke,vbnd,0,3KdqW7vrStW0VIp1Pfk0cq,0.861,0.125,0,-16.482,1,0.0708,0.457,0.421,0.101,0.4,78.036,222115,4
7870,LOST MY MIND,Elley Duhé,0,6ltzTNEQ3pMDVoRcEby4oV,0.811,0.523,11,-6.31,0,0.116,0.157,4.90E-06,0.112,0.459,103.044,144360,4
7871,Kandi,Dave B.,0,0J11PcIyl7RFIPzAAyAMlF,0.559,0.552,2,-9.842,1,0.241,0.639,0,0.308,0.416,85.964,258760,4
7872,Sticky,Ravyn Lenae,0,1rfGO3N4DPGodJLSSY9Re5,0.712,0.846,4,-6.714,0,0.0538,0.0339,0.000384,0.106,0.573,120.016,196755,4
7873,Lock My Door,Joshua J,0,0UeHMHVqM0eesT4f984vCP,0.764,0.739,1,-7.587,0,0.0639,0.0533,0,0.0968,0.627,109.014,215780,4
7874,Photos,Joel Malka,0,1GqFfhu0jfgodvFtNPFqgF,0.658,0.63,6,-6.817,1,0.0443,0.101,0.000402,0.143,0.415,137.108,198869,4
7875,SOULFLY,Gyyps,0,1VjZA5Wr3GJWlX7oIKdxgb,0.642,0.507,10,-9.686,0,0.162,0.0701,7.75E-05,0.122,0.489,89.841,203183,4
7876,Little Lies,ODIE,0,6QpZXzHcOgXK41Y3YCx203,0.34,0.294,2,-15.989,1,0.0426,0.593,0.68,0.0944,0.136,83.938,220008,4
7877,I Feel,Son Kuma,0,6sUIz0I7rLjQTpixztBP1n,0.755,0.449,4,-8.593,0,0.0836,0.0611,0,0.0837,0.522,167.001,139405,4
7878,Recrd,EYUKALIPTUS,0,2fHRnA4qnuZzUyaKwF5dJ4,0.692,0.419,7,-12.613,1,0.338,0.534,0.0101,0.382,0.561,64.879,155077,4
7879,Winter Soon,Demo Taped,0,3UI8yffe1GcHPNOivGzEHp,0.308,0.205,8,-12.962,1,0.0675,0.478,7.54E-05,0.153,0.0745,176.506,205663,3
7880,PERCEPTION,Savon,0,2LTnl3BlmYe9b9bDaA8w8u,0.669,0.278,10,-14.997,0,0.0513,0.936,0.854,0.11,0.448,74.992,211763,4
7881,New Chain,Col3trane,0,0XKy7RX253fDcYaV29qPC5,0.565,0.445,8,-7.147,1,0.121,0.161,2.45E-06,0.114,0.354,139.804,221197,4
7882,Make Me Cry,Pip Millett,0,6zR3jAXgWCs9wmW1r4XGyk,0.551,0.357,2,-8.132,0,0.503,0.587,0.000167,0.123,0.494,184.479,162973,4
7883,TAXI,Maydar,0,2apnGsyu8FB1JRtpS0hnr7,0.439,0.403,5,-11.523,1,0.422,0.854,3.46E-06,0.376,0.376,87.437,221333,4
7884,White Moon,Sarob,0,0tRzucCs481cRMPVlLZSeZ,0.478,0.5,1,-7.835,0,0.479,0.502,0,0.241,0.171,172.864,242848,4
7885,Pops,THEY.,0,5qEzURrIp2mJbfgBXNnQeD,0.708,0.721,11,-5.96,0,0.231,0.171,4.57E-05,0.407,0.653,160.061,159787,4
7886,rosegold,kerri,0,5vJv2RCcxW6EyOn8UBCHWR,0.648,0.168,0,-12.875,1,0.0311,0.839,0.036,0.195,0.0928,99.974,254400,4
7887,Afraid,Xavier Omär,0,2zIkPM6r0yEjWt18qG3jP3,0.726,0.296,4,-7.859,0,0.0393,0.355,0,0.112,0.148,123.942,220044,4
7888,With U,Jay Prince,0,27wTy7yA4VVMRYGtZtfkmr,0.657,0.49,8,-6.507,0,0.0378,0.00511,8.96E-06,0.0918,0.434,133.998,255187,4
7889,I Don't Wanna Waste My Time,Joji,0,72Qo3U5apeuv91j9BEqJBM,0.287,0.234,4,-17.86,1,0.0672,0.765,0.0636,0.123,0.121,74.454,164430,4
7890,Zanzibar,Kamaliza,0,0czEIxZg628LnldJfm7usx,0.557,0.852,2,-3.411,0,0.0308,0.0966,0.00409,0.108,0.366,140.044,228938,4
7891,After the Tone,Crayon,0,6fKX7zoYa5nfpHnnmcKg6t,0.802,0.186,10,-13.562,0,0.0676,0.734,0.366,0.101,0.225,128.081,153700,4
7892,misery,kerri,0,1Pz4VJql4KkENC7j7lEfjb,0.712,0.475,11,-9.227,0,0.0508,0.0316,0.803,0.126,0.703,142.005,206197,4
7893,Let's Go (The Royal We),Run The Jewels,0,684nFcq9jOLIcCxovCtveu,0.715,0.641,11,-6.184,1,0.172,0.0125,0.000842,0.0932,0.283,127.943,217853,4
7894,Player Way (feat. Wiz Khalifa),Warm Brew,0,43nXNMMmm8RIlKGusmya3b,0.861,0.69,9,-4.709,1,0.228,0.258,0,0.295,0.578,137.993,226235,4
7895,Splash (feat. DreamDoll),SiAngie Twins,0,6tzWgwanVNISpHVeVC0QT9,0.838,0.657,11,-5.483,1,0.341,0.052,1.98E-05,0.119,0.317,129.915,193863,4
7896,At Least I Know,T.I.,0,5JthbO0b6J6zsuBM9CcXpd,0.708,0.664,2,-6.857,1,0.124,0.0539,0,0.124,0.404,107.973,323187,4
7897,Manilla,Lupe Fiasco,0,4qWFWexB8E8Bx0SMogNO9A,0.627,0.904,4,-2.213,0,0.144,0.406,0,0.204,0.654,139.92,327497,4
7898,H.I.A.D. (How I Ain't Die),Tally Bands,0,7qFjzrDN1j4hcUzExpmWzr,0.698,0.433,2,-14.329,0,0.131,0.0362,0,0.1,0.494,156.963,140069,4
7899,Kyrie,Sheck Wes,0,3cT2KPDofP6iN0zfxAoALu,0.687,0.701,6,-6.054,1,0.244,0.0335,0,0.0851,0.372,159.915,167107,4
7900,Saigon Velour,Ghostface Killah,0,0JaOF24uz29egN3C2oVTor,0.352,0.876,4,-4.793,0,0.297,0.246,0,0.351,0.472,179.795,214857,4
7901,Butane,Warm Brew,0,6YRMlOBaGCT9kYj9OH1BTs,0.781,0.524,9,-7.545,0,0.0665,0.381,0,0.0965,0.655,108.015,283818,4
7902,Huddy,Coi Leray,0,5AJfj6wlGtaWlhd71RAxTG,0.923,0.802,6,-5.701,1,0.266,0.012,0,0.175,0.738,95.108,264000,4
7903,Dying To Tell You,Felly,0,3IK0VdVTvrL04oYq5w03fl,0.684,0.735,2,-5.488,0,0.0343,0.0664,0.0106,0.1,0.323,115.998,168951,4
7904,Slime (feat. Smokepurpp & Lil Yachty),Zoey Dollaz,0,6v0cr6Zh2Cdwo2o7LYF8n9,0.838,0.573,1,-6.279,1,0.275,0.0574,0,0.104,0.346,85.493,204061,4
7905,Victoria Secret (feat. Father),Big Baby Scumbag,0,0RT1aAfuWuy4meY33OIMlW,0.894,0.75,6,-5.459,1,0.138,0.0291,0,0.259,0.653,147.975,168560,3
7906,"Young, Rich & Black",DDG,0,0UWcwPvb17DgzoAiS32Ldw,0.593,0.561,10,-7.073,0,0.326,0.0288,8.92E-06,0.121,0.338,89.982,153606,4
7907,"Timberlan'd Up (feat. Royce Da 5'9"")",Apollo Brown,0,7lwZpaL63Bbro5FkSBFfGO,0.657,0.844,1,-6.668,1,0.318,0.0504,0,0.345,0.759,79.906,209367,4
7908,Might Be (feat. Gucci Mane),T-Pain,0,0oTAHvpMyromoYJyLyFiSx,0.792,0.665,0,-3.591,1,0.161,0.0462,0,0.103,0.569,125.043,218549,4
7909,I Have Something,LUKA,0,0Pg9CUFClfhVnAnBQPu3VL,0.762,0.415,3,-15.271,0,0.29,0.102,0,0.0891,0.706,152.139,208421,4
7910,Might Go,Ro Ransom,0,5toPjaZNKYDYvd8aTwfZd9,0.71,0.732,1,-3.662,1,0.0583,0.199,0,0.0903,0.276,82.93,154493,4
7911,Mulita,Leikeli47,0,3aKAlm9ouGVJhjqRjWVQwj,0.873,0.562,11,-6.252,0,0.267,0.0306,0.000676,0.127,0.681,108.653,195000,4
7912,Thotnite,Father,0,65W1Qwn5MHidrr2tLran2v,0.903,0.482,0,-8.544,0,0.233,0.00976,3.42E-06,0.106,0.264,154.056,152727,4
7913,Racks on Me,Drako,0,5KPuc7JG5IrI40t98BRrjt,0.736,0.651,1,-9.457,1,0.297,0.169,0,0.139,0.627,142.007,207401,4
7914,JUST WATCH,Luke Christopher,0,1UxXlXb6kKB1KKHC2na1ft,0.56,0.465,5,-10.243,0,0.229,0.121,0,0.0788,0.268,179.928,140500,4
7915,ET,Kweku Collins,0,1ALTlRUB6QWkP8nCfNV8gH,0.864,0.578,1,-8.693,1,0.347,0.311,0,0.133,0.708,78.06,271241,4
7916,Verified,A$AP Ferg,0,0D57r0pP7et2thTG95dvlf,0.918,0.624,1,-4.986,1,0.371,0.0423,0,0.0749,0.474,148.987,122376,4
7917,Zone 6,Young Nudy,0,2tbIldU1Cfdpat40wyJKkn,0.858,0.406,9,-9.404,1,0.649,0.128,0,0.375,0.596,155.918,236947,4
7918,Hey Up There (feat. Ty Dolla $ign),Buddy,0,4AZ31ri9jbxfwYBNDmOBLB,0.766,0.664,11,-4.171,1,0.121,0.181,8.30E-06,0.138,0.584,145.054,201362,4
7919,"Walk That Way (feat. Indigo General, Jaquell & Erich Schrempp)",Kilcool,0,7re9zqXpHT4sKk3bqvpiPs,0.769,0.787,8,-3.881,0,0.361,0.153,0,0.1,0.307,95.102,187895,4
7920,Midnight.,Jinsang,0,23Ozuv5K6NSgg3bx38aGf0,0.646,0.242,1,-15.27,1,0.0658,0.844,0.712,0.109,0.0743,84.593,166308,4
7921,Pero Asi,Made in M,0,2BaWEDerOWY1ShD3rpqgWv,0.812,0.225,5,-12.284,0,0.334,0.687,0.615,0.078,0.672,83.985,114458,4
7922,pook,[bsd.u],0,6VCXvd33PbDnuIcaylGbJ3,0.536,0.458,2,-10.288,0,0.167,0.809,0.78,0.266,0.335,84.377,114750,4
7923,Flunked This Semester,HM Surf,0,24Ls3YpU0IjeWUM6ws2yaJ,0.557,0.246,8,-11.289,1,0.0368,0.486,0.904,0.111,0.27,174.063,99310,4
7924,NGC 6236,Toonorth,0,6Ditgndq8NnRVJf8K3hs7W,0.484,0.254,11,-7.54,1,0.274,0.658,0.909,0.121,0.705,148.463,115200,4
7925,Evenings,Idealism,0,6F1tpMt4vwHFx5A8aWq5Q2,0.644,0.179,4,-11.329,1,0.0462,0.731,0.912,0.0993,0.19,80.999,121482,4
7926,Reach,chief.,0,7m0cogTTBLtx7nlvR4aCLi,0.505,0.0671,6,-22.562,0,0.0705,0.938,0.913,0.131,0.258,72.796,129000,3
7927,Dedication,DRWN.,0,7EJFzz826MofeSh9OiLqY9,0.441,0.456,4,-13.291,1,0.413,0.829,0.000219,0.144,0.339,81.846,74312,4
7928,savacu,Wun Two,0,4cRtsgJHnz4UaUnHGfDrxB,0.636,0.148,8,-13.895,1,0.0815,0.247,0.748,0.111,0.565,80.96,94815,4
7929,Mosaic - Skit,Psalm Trees,0,6eP7ORSpvpgbbUt5aUUMIX,0.772,0.0383,10,-16.941,0,0.485,0.685,0.731,0.112,0.961,89.058,64719,4
7930,Bak Pak,Lunchmoney,0,1dCJprCdXOvLmK8RQ5jpRL,0.711,0.387,10,-14.536,0,0.231,0.937,0.842,0.116,0.598,79.027,85063,4
7931,Kava,Stlndrms,0,7LlvD1pCqzKca6Mh27ZqnO,0.785,0.664,7,-9.53,1,0.125,0.479,0.392,0.0896,0.781,79.968,96834,4
7932,Beginnings,Knowmadic,0,5MzdRLptsrihyrpxtI2hNH,0.612,0.183,6,-15.316,0,0.113,0.788,0.599,0.108,0.519,69.987,73777,5
7933,6am,Joe Corfield,0,5F0eVsjgUmdZsI264Iu618,0.745,0.265,11,-10.678,1,0.0708,0.8,0.959,0.0717,0.422,88.477,123000,4
7934,Not the Same,twuan,0,0UZIq5MBtALBLrYZhD2vyN,0.76,0.19,5,-21.736,0,0.393,0.963,0.738,0.112,0.666,113.012,131681,4
7935,midnight walk,sameO,0,7jqR0O73Il5ppSY5ZYiiVD,0.433,0.395,1,-15.43,1,0.187,0.892,0.901,0.0741,0.654,87.158,185517,4
7936,I Loved You but I Will Never Know,Imfinenow,0,2g3BIC46FGQm3xeZHNs5tc,0.787,0.185,5,-15.91,1,0.0408,0.819,0.958,0.0997,0.0838,109.992,102243,4
7937,Meadow,Leavv,0,2hribPPxctXu08Excszxpy,0.716,0.0271,3,-14.894,1,0.11,0.946,0.936,0.0685,0.169,82.007,123000,4
7938,bedroom,Smeyeul.,0,3V8ELNE06T87kkrYnXg4od,0.77,0.0161,4,-14.233,1,0.162,0.905,0.914,0.113,0.7,75.047,153600,4
7939,Blue and Green,Harris Cole,0,5TkbqmEphrqOGzXGX6gL9Q,0.638,0.0389,1,-17.75,1,0.115,0.897,0.849,0.0731,0.48,79.888,174000,4
7940,Two Sides,Guru Griff,0,5mqYctAJjWHMWTknWwe1OL,0.921,0.683,0,-6.444,1,0.039,0.413,0.486,0.0785,0.953,140.015,102857,4
7941,Analog,leaf beach,0,0z7QCHOnnIPiilUkEQ0Y1s,0.746,0.371,9,-8.226,0,0.332,0.432,0.423,0.0954,0.488,174.256,97433,4
7942,double at 11pm,jinsku,0,0svlrgGP1b9WSvHccYex1d,0.6,0.247,3,-16.3,0,0.0572,0.794,0.87,0.117,0.262,171.956,151664,4
7943,97,Bertholet,0,3Wc9aWJgP6ST2gKqaPUzq9,0.645,0.165,3,-19.347,0,0.164,0.223,0.803,0.164,0.843,80.367,121891,4
7944,balcony view,Leavv,0,62qhlMjSdV2xzmYrzlBgSe,0.676,0.202,11,-12.967,1,0.196,0.944,0.886,0.104,0.751,75.109,80000,4
7945,memories,Smeyeul.,0,2Zsp3xAdo6f4Ag4sEkmHL3,0.576,0.107,10,-21.118,1,0.109,0.971,0.797,0.0807,0.335,125.727,102400,3
7946,Peripheral Vision,Axian,0,3fJMVqE5X12dKLWFizHp0u,0.463,0.573,9,-10.389,0,0.307,0.754,0.846,0.271,0.512,65.71,98201,3
7947,Bae Bae,Kid Tarô,0,32fuy5jH6VGG9WiDcBQSZN,0.612,0.562,7,-9.008,0,0.0753,0.755,0.808,0.182,0.751,88.01,139161,4
7948,Red Tide,xJK.,0,6EzuZuIO6lR0XvFkBVcvpW,0.755,0.338,10,-8.574,0,0.246,0.792,0.906,0.12,0.43,91.045,148365,4
7949,Show and Prove,Es-K,0,49ZxYyLKAM1YnqeBi5T6GO,0.729,0.32,11,-7.278,0,0.0338,0.157,0.905,0.111,0.542,92,146070,4
7950,I Feel It,RudeManners,0,2jQGj0zQTt7w58NinTOuQT,0.413,0.109,1,-15.251,1,0.051,0.887,0.911,0.0818,0.301,89.904,180406,4
7951,Faintly,Shrimpnose,0,6GpnpvtCFQ21HRk0mqVRw0,0.756,0.291,2,-13.78,1,0.169,0.866,0.895,0.116,0.335,75.156,126875,4
7952,Cause,Vhsceral,0,69gdXYtXQEX9xNeEto8K0q,0.679,0.45,0,-10.428,1,0.16,0.748,0.0589,0.101,0.364,80.075,110071,4
7953,Flava,Manny,0,5l40B5n4x1U6B7qTaJXPtN,0.416,0.423,9,-15.069,0,0.248,0.97,0.928,0.206,0.41,76.372,111381,4
7954,Just Dripping,Anne Suu,0,5J7wxPEhBBxrwPCfSap7W3,0.543,0.037,10,-23.305,1,0.0396,0.939,0.146,0.0989,0.213,76.113,54539,4
7955,Syrup,Dweeb,0,2vhuoP5GCG5k3Z68HvgwON,0.683,0.173,7,-13.145,1,0.045,0.755,0.925,0.109,0.215,86.987,66207,4
7956,Panacea.,Misc.Inc,0,3julkyNbFWkLu9geA2CB8K,0.618,0.211,9,-16.41,1,0.208,0.876,0.849,0.0887,0.142,83.982,85714,4
7957,obsidian,Nohidea,0,6YoGzdeWzJrlQU3CkUVLPj,0.308,0.42,8,-8.172,1,0.0402,0.881,0.0286,0.106,0.0381,80.806,184049,4
7958,RideOut,enjo,0,2VnKo1kUEFkM5CwzsreulS,0.78,0.327,10,-8.763,1,0.136,0.915,0.689,0.112,0.388,82.027,79024,4
7959,Recollections,jrd.,0,5DaL1ihlNVFZ7qdiNds13f,0.799,0.0375,11,-15.162,1,0.456,0.891,0.928,0.102,0.615,78.132,147716,5
7960,It’s Fine,Chopef,0,68bJOfbK0fBXtqqPU6iOeE,0.689,0.574,9,-7.454,1,0.0589,0.822,0.645,0.115,0.3,79.984,156000,4
7961,Wasted Years,Arvo to me,0,4pv80UbBmpaIj178oGuhYs,0.809,0.287,5,-8.89,0,0.0595,0.476,0.839,0.119,0.651,84,171451,4
7962,viaduct creek,Delayde,0,5JZcqp91d9ZfvkGmgb9jjT,0.738,0.207,11,-13.185,0,0.273,0.537,0.934,0.112,0.661,80.051,84000,4
7963,Silence,Philanthrope,0,2J8XWGtQb2PFtuHjyaNow3,0.651,0.183,9,-9.388,0,0.056,0.838,0.925,0.0891,0.687,151.971,105101,4
7964,mansnothot (instrumental),Intalekt,0,0uBdx1Q3AUCQBIEVmmiAyc,0.582,0.284,10,-8.997,0,0.0407,0.452,0.222,0.109,0.0833,137.404,160349,4
7965,Snitchfoot,Karavelo,0,2yvQ3Dz7nXZLXxhQhDvhog,0.644,0.318,7,-14.637,1,0.0973,0.786,0.935,0.128,0.297,89.31,167687,4
7966,Phin,Estugarda,0,1ye0CqUtaws5jl9mAiki1R,0.677,0.211,2,-12.762,1,0.0335,0.0497,0.898,0.0993,0.562,84.293,85449,4
7967,realms,twuan,0,566ybVlJWaCNpAs8I36YVe,0.725,0.315,8,-13.941,1,0.0364,0.939,0.806,0.0627,0.206,152.763,101270,4
7968,Floating,wuf,0,6IQZ4aWSnWZm8Cohq1kF0M,0.694,0.124,10,-18.156,0,0.0493,0.594,0.917,0.111,0.856,152.098,88522,4
7969,night skye,miska.,0,7IqWVuedjmZcN3mbocgrmU,0.542,0.3,4,-17.405,0,0.306,0.985,0.94,0.101,0.346,75.637,75789,4
7970,Aqua skies,leaf beach,0,7GUFtORUccFTN0bWWKqDOb,0.562,0.377,1,-14.323,1,0.427,0.818,0.792,0.116,0.12,72.807,102078,4
7971,blxt,asbeluxt,0,28Wu2IcHEIED0PvaDurkr2,0.555,0.246,6,-13.867,1,0.0539,0.793,0.941,0.117,0.364,84.942,56042,4
7972,Jeux D'eau,sad toï,0,2PGtQpxxPvhzHLoaz83hLp,0.779,0.23,0,-16.382,1,0.457,0.85,0.0228,0.683,0.258,73.512,144000,4
7973,Winter Walks,Lungfulls,0,0YGgEbmzrt7SNOJ5nnHjTQ,0.564,0.265,11,-12.867,1,0.0673,0.883,0.916,0.121,0.344,83.298,95600,4
7974,Xx22-2,Lapis,0,2otm4uSPQEQvcF8AJcDkuQ,0.44,0.132,2,-22.323,0,0.168,0.917,0.268,0.0946,0.773,166.729,158000,3
7975,Fuse,Brenky,0,3TlFxsF7d3hNGgRMUEWxSB,0.667,0.209,10,-13.383,0,0.0501,0.922,0.932,0.124,0.664,148.152,84371,4
7976,Bridges,.Sinh,0,6wkTnl4q7qznX2JG0ZDlkg,0.644,0.258,7,-20.552,0,0.0534,0.589,0.946,0.0807,0.207,166.356,112786,4
7977,Out West,Sumwun,0,27Zp4clfhVk3Qx9TwCwZ97,0.717,0.103,11,-10.601,0,0.0925,0.587,0.803,0.111,0.39,88.989,86334,4
7978,Garlic W/Primate,illiterate,0,73AYmGZ0dyvYIVxe6s0KO4,0.755,0.496,10,-6.396,1,0.287,0.647,0.407,0.0918,0.362,82.383,81659,4
7979,But Not So Fast,Bertholet,0,16k4XkEG3LRRCBOL3SlPKu,0.586,0.275,6,-12.917,1,0.0406,0.133,0.813,0.109,0.389,150.298,78956,4
7980,Merci,jrd.,0,4eoIIRUjD5p7V5X5RCpIna,0.796,0.105,11,-13.837,0,0.0761,0.248,0.817,0.108,0.922,160.293,100242,4
