,Title,Artist,Top100,URI
76,Sangria Wine,Pharrell Williams,0,6XlSyYFTU1nodeWwwzVgTV
77,All Day,DaniLeigh,0,1gxrzphu3xwlZAQhtvNBMK
78,Just As I Am,Spiff TV,0,1iKMpywaaihrz8gqaRqzp1
79,Nice & Slow,Nina Sky,0,23TRtzNuTqGJN8AvPF9hv1
80,Scooby Doo Pa Pa (Remix),Dj Kass,0,1qn6qJieOnISqDvhAsnyKT
81,Don't Werk,Paula DeAnda,0,1GXwLx1iRQWDiyC8lxzTbL
82,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofia Reyes,0,4QtiVmuA88tPQiCOHZuQ5b
83,Pa Mi (with Ozuna),Tory Lanez,0,0CYLDwvvpJQySLA5CvqvSl
84,Lo Siento,SUPER JUNIOR,0,2VVqxQhALecXvaArlZSVXr
85,Nuestra Cancion Pt. 2 (feat. Arcángel),Snow Tha Product,0,6fXcO9KlWgg4zAgEHDg84i
86,La Hora Loca,Jackie Cruz,0,3slEtqOv6jsy9BlRlqxy4C
87,Dinero - English Version,Trinidad Cardona,0,1VNYba9ONwMhB32QdqU0ms
88,Pum Pum (feat. Kap G & Play-N-Skillz),Messiah,0,3Aisht63nuyccguwcW3ek5
89,Hora Loca,DJ Africa,0,0IfyEwBIhH64zdIHoKOFys
90,Better With You,Michl,0,1FjHxl8B28sXj7eVfxdST4
91,NIGHTS LIKE THESE,Ne-Yo,0,5wV6xSCqRD8kqV6daq7S7w
92,Alright,Anthony Ramos,0,6oFsUGtEpV7qZGyYpQGtJe
93,Insecure,Amara La Negra,0,5vad0eq5x3f3rtRlo8GnL4
94,Si Una Vez - (If I Once)[Spanglish Version],Play-N-Skillz,0,2qrv19NlDX5H67XZR1QCcn
95,Finesse (Remix) [feat. Cardi B],Bruno Mars,0,3Vo4wInECJQuz9BIBMOu8i
96,Belong To U,Fancy Cars,0,6pG8mlZHcSt14eQCOQxA2N
97,Sunny Daze,Salaam Remi,0,3whp8PfpRw1xqzz7rbIzN4
98,Island,Lil Eddie,0,1i3DTKrrzzYgpIyM3eCNZE
99,Crazy In Love,Beyoncé,0,5IVuqXILoxVWvWEPm82Jxr
100,Michael Jackson x Mark Ronson: Diamonds are Invincible,Michael Jackson,0,7jRs0CvNctNBNH1roANQdY
101,Live Your Life (feat. Rihanna),T.I.,0,3jlbL2OTD5YmIunYzgQTAN
102,Love Never Felt so Good,Michael Jackson,0,48td6xvpokdYwvbl3JIiXP
103,Hall of Fame,The Script,0,1X1DWw2pcNZ8zSub3uhlNz
104,Drops of Jupiter,Train,0,2hKdd3qO7cWr2Jo0Bcs0MA
105,We Can't Stop,Miley Cyrus,0,2y4lAQpi5VTNLu2ldeTdUH
106,TiK ToK,Kesha,0,0HPD5WQqrq7wPWR7P7Dw1i
107,Look At Me Now,Chris Brown,0,3hsmbFKT5Cujb5GQjqEU39
108,What Makes You Beautiful,One Direction,0,4cluDES4hQEUhmXj6TXkSo
109,Die Young,Kesha,0,7EQGXaVSyEDsCWKmUcfpLk
110,Oops!...I Did It Again,Britney Spears,0,6naxalmIoLFWR0siv8dnQQ
111,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,0,2Foc5Q5nqNiosCNqttzHof
112,"One, Two Step",Ciara,0,7uKcScNXuO3MWw6LowBjW1
113,Stronger (What Doesn't Kill You),Kelly Clarkson,0,6D60klaHqbCl9ySc8VcRss
114,Not Over You,Gavin DeGraw,0,6j7hih15xG2cdYwIJnQXsq
115,Dirrty (feat. Redman),Christina Aguilera,0,59ZTxQo8rBycIXPLUIKvE2
116,"Independent Women, Pt. 1",Destiny's Child,0,69XUpOpjzDKcfdxqZebGiI
117,Get The Party Started,P!nk,0,02jcEwywffn3Tsb48fXmlW
118,The Anthem,Good Charlotte,0,0BRHnOFm6sjxN1i9LJrUDu
119,Over You,Daughtry,0,2R5uY1gbIKzGB1yAOH067s
120,Vivir Mi Vida,Marc Anthony,0,3QHMxEOAGD51PDlbFPHLyJ
121,La Vida Es Un Carnaval,Celia Cruz,0,1BwrMGGhPA6GarWIYaFrW8
122,Lambada - Original Version 1989,Kaoma,0,6xepovPqjvrkEw9Y5AMmTm
123,La Camisa Negra,Juanes,0,2EM9zpAc7PVeoAydmbfVIL
124,La Gota Fría,Carlos Vives,0,5ZaTqcL7zIreaVNeVy89Iu
125,Suavemente,Elvis Crespo,0,1YwPNemawMgGe6sF4U0FTE
126,Bailando - Spanish Version,Enrique Iglesias,0,32lm3769IRfcnrQV11LO4E
127,Danza Kuduro,Don Omar,0,2a1o6ZejUi8U3wzzOtCOYw
128,Conga,Miami Sound Machine,0,0KxTWgl64TNOQXiGFJYc6t
129,La Bilirrubina - En Vivo Estadio Olímpico De República Dominicana/2012,Juan Luis Guerra 4.40,0,1GT0Q2ZTeKtIBueYKr4vhr
130,Guantanamera,Celia Cruz,0,7arYtARCpVmLPsB8Chua4A
131,El Matador,Los Fabulosos Cadillacs,0,4S0p4Z0KuVUWm2bxKoGPRJ
132,Amor Prohibido,Selena,0,1kCewNSs909Xj1naXr36X8
133,Obsesion,Aventura,0,65H6t1WQBim6q93yM8fEwn
134,Let's Get Loud,Jennifer Lopez,0,42nSaPdT6g3ZIMHmKLlP2p
135,Oye Como Va,Tito Puente,0,73uEbChpBB29ttwVnwuNVE
136,Bamboleo,Gipsy Kings,0,5siwoDxCGDYnmfWV5SlUpE
137,Pedro Navaja,Rubén Blades,0,7aKs8kWKKau0SDgaeyZMAX
138,Gasolina,Daddy Yankee,0,6jEZLz3YpnEBRpVkv35AmP
139,Mambo No 5,Pérez Prado,0,6fJnlY8rYqC37J2u2OeEMf
140,De Música Ligera,Soda Stereo,0,2WD9ggmpZE7Wodh3qVVCgg
141,Macarena,Los Del Rio,0,4oaj36KzXRgDg4McgcTsZK
142,La Bamba,Los Lobos,0,0uMMLry3hzWGn3q3loqMkm
143,Querida,Juan Gabriel,0,7jifSIzfENtfdCMK8eDhIT
144,Maria Maria - Radio Mix,Santana,0,3XKIUb7HzIF1Vu9usunMzc
145,La ingrata,Café Tacvba,0,19ScoKGqnfUggyqOVQjsoH
146,Corazón partio,Alejandro Sanz,0,5oAL1QRpmMmvXkF9nkxuNO
147,Livin' la Vida Loca,Ricky Martin,0,0Ph6L4l8dYUuXFmb71Ajnd
148,Rebelión,Joe Arroyo,0,00Ro1lnV3V6i87aY4t8Q43
149,La Maza,Silvio Rodríguez,0,2a1x7Ln27cNtsgtL26mdwi
150,Amor Eterno,Rocío Dúrcal,0,3K3wpXrbZYkXMxiA9QJwV1
151,Besame Mucho,Consuelo Velázquez,0,7x0Y9Fkw9gv0UdNPMPctBq
152,Mais Que Nada,Sergio Mendes & Brasil '66,0,6YTBfxkdGce9pLEy9jG9Jo
153,El Cantante,Héctor Lavoe,0,5Uve0jm1RgxKWzdSvncBDO
154,Chan Chan,Buena Vista Social Club,0,5sbw5zIz9ck2pOEDXUR0QU
